OBJECTID,NUMBER0,SYSTEM_NAM,TINWSYS_LO,OWNER_TYPE,D_PRIN_CIT,D_PRIN_CNT,D_FED_PRIM,D_POPULATI,D_TTL_STOR,ST_ASGN_ID,D_PWS_FED_,TINWSF_IS_,FACILITY_N,TINWSF_LOC,FACILITY_T,WATER_TYPE,AVAILABILI,LAT,LON,HORIZ_REF_,DATA_COLLE,DEPTH_OF_W,DEPTH_OF_1,WELL_DIAME,WELL_DIA_1,STATIC_WAT,STATIC_W_1,OFFICE,OVERSIGHT,ACTIVE
"77",NM3510014,CIRCLE B CAMPGROUND,,P,RUIDOSO DOWNS,LINCOLN,GW,250.00000000,3000.00000000,"10014001",NC,2110.00000000,WELL #1,,WL,GW,P,33.34521800,-105.56883500,"003",2019/03/01,145.00000000,FT,7.00000000,IN,120.00000000,FT,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"78",NM3510014,CIRCLE B CAMPGROUND,,P,RUIDOSO DOWNS,LINCOLN,GW,250.00000000,3000.00000000,"10014002",NC,2111.00000000,WELL #2,,WL,GW,P,33.34608300,-105.56958300,"003",2005/09/26,145.00000000,FT,7.00000000,IN,115.00000000,FT,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"79",NM3524330,MOUNTAINAIR WATER SYSTEM,,L,MOUNTAINAIR,TORRANCE,GW,1796.00000000,430000.00000000,"24330001",C,2891.00000000,COOPER,COOPER WELL,WL,GW,P,34.56166600,-106.17483300,"003",2007/12/06,292.00000000,FT,12.00000000,IN,130.00000000,FT,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"80",NM3524330,MOUNTAINAIR WATER SYSTEM,,L,MOUNTAINAIR,TORRANCE,GW,1796.00000000,430000.00000000,"24330005",C,2894.00000000,WILLARD 1,WILLARD 1 WELL,WL,GW,P,34.60930500,-106.03505500,"003",2007/12/06,260.00000000,FT,12.00000000,IN,70.00000000,FT,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"81",NM3524330,MOUNTAINAIR WATER SYSTEM,,L,MOUNTAINAIR,TORRANCE,GW,1796.00000000,430000.00000000,"24330017",C,13884.00000000,WELL 2B,NEW WELL #5,WL,GW,P,34.60930500,-106.03505500,"003",2016/11/14,350.00000000,FT,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"84",NM3592028,WALKING SANDS REST AREA,,S,SAN ACACIA,SOCORRO,GW,500.00000000,10000.00000000,"92028004",NC,14447.00000000,WELL #2,,WL,GW,P,34.31121000,-106.88842000,"003",2020/03/10,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,AARON BECKWORTH,"-1"
"86",NM3582101,AMERICAN GYPSUM COMPANY ABQ PLANT,,P,ALBUQUERQUE,BERNALILLO,GW,150.00000000,100000.00000000,"82101001",NTNC,4032.00000000,WELL #1,,WL,GW,P,35.17260200,-106.59442700,"003",2014/10/07,370.00000000,FT,8.00000000,IN,191.00000000,FT,SANTA FE AREA OFFICE,CHET MARKHAM,"-1"
"87",NM3577432,TRAILS END MHP,,P,LOS LUNAS,VALENCIA,GW,120.00000000,225.00000000,"77432001",C,3822.00000000,WELL #1,,WL,GW,P,34.81088800,-106.69322200,"003",2007/12/20,130.00000000,FT,8.62500000,IN,6.50000000,FT,LAS CRUCES AREA OFFICE,BRANDI LITTLETO,"-1"
"89",NM3562919,LABORCITA WATER USERS ASSOCIATION,,L,LA LUZ,OTERO,GW,70.00000000,27000.00000000,"62919001",C,7161.00000000,SPRING #1,LABORCITA SPRING,SP,GW,P,33.00455500,-105.85222200,"003",2006/06/07,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"90",NM3522409,FREEPORT MCMORAN CHINO MINES,,P,HURLEY,GRANT,GW,1050.00000000,2414000.00000000,"22409001",C,2798.00000000,APACHE TEJO #4,,WL,GW,P,32.64478800,-108.12835100,"003",2003/05/24,777.00000000,FT,14.00000000,IN,88.00000000,FT,LAS CRUCES AREA OFFICE,AARON BECKWORTH,"-1"
"91",NM3522409,FREEPORT MCMORAN CHINO MINES,,P,HURLEY,GRANT,GW,1050.00000000,2414000.00000000,"22409021",C,2818.00000000,YATES #3,,WL,GW,P,32.45716100,-108.02603600,"003",2003/05/24,0.00000000,,0.00000000,,144.00000000,FT,LAS CRUCES AREA OFFICE,AARON BECKWORTH,"-1"
"92",NM3522409,FREEPORT MCMORAN CHINO MINES,,P,HURLEY,GRANT,GW,1050.00000000,2414000.00000000,"22409003",C,2800.00000000,APACHE TEJO #7,,WL,GW,P,32.64425300,-108.12836700,"003",2003/05/24,365.00000000,FT,14.00000000,IN,131.80000000,FT,LAS CRUCES AREA OFFICE,AARON BECKWORTH,"-1"
"93",NM3522409,FREEPORT MCMORAN CHINO MINES,,P,HURLEY,GRANT,GW,1050.00000000,2414000.00000000,"22409004",C,2801.00000000,APACHE TEJO #8,,WL,GW,P,32.64512800,-108.12982700,"003",2003/05/24,405.00000000,FT,22.00000000,IN,134.30000000,FT,LAS CRUCES AREA OFFICE,AARON BECKWORTH,"-1"
"1",NM3500130,MELODY RANCH WATER CO,,P,MORIARTY,TORRANCE,GW,208.00000000,60000.00000000,"00130001",C,1701.00000000,WELL # 1 (SOUTH),,WL,GW,P,35.03336900,-106.13380000,"003",2014/03/26,400.00000000,FT,5.00000000,IN,206.00000000,FT,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"3",NM3504526,GREATER GLORIETA REGIONAL MDC,,L,GLORIETA,SANTA FE,GW,153.00000000,62000.00000000,"04526002",C,1926.00000000,WELL #2,UP-1643-S,WL,GW,P,35.58616600,-105.77536100,"003",2011/07/29,500.00000000,FT,6.00000000,IN,104.90000000,FT,SANTA FE AREA OFFICE,SF FRANK BACA,"-1"
"6",NM3524530,TAJIQUE MDWCA,,L,TAJIQUE,TORRANCE,GW,181.00000000,266000.00000000,"24530008",C,9128.00000000,WELL #4,,WL,GW,P,34.75625800,-106.30237500,"003",2014/11/18,400.00000000,FT,6.00000000,IN,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"10",NM3582204,PHILMONT SCOUT RANCH - INDIAN WRITINGS,,P,,COLFAX,GW,75.00000000,2500.00000000,"82204001",NC,4038.00000000,WELL #1,,WL,GW,P,36.62280500,-104.99352700,"003",2011/06/15,52.00000000,FT,0.00000000,,17.00000000,FT,SANTA FE AREA OFFICE,GREG QUARTIERI,"-1"
"12",NM3593307,WESTERN SKY'S RV PARK,,P,VADO,DONA ANA,GW,25.00000000,520.00000000,"93307001",NC,4739.00000000,WELL #1,,WL,GW,P,32.12047100,-106.63258500,"003",2001/11/21,432.00000000,FT,6.00000000,IN,131.00000000,FT,LAS CRUCES AREA OFFICE,ANTONIO ROMERO,"-1"
"14",NM3596517,KAMP KIWANIS,,P,GALLUP,MCKINLEY,GW,150.00000000,91000.00000000,"96517001",NC,4949.00000000,EAST WELL,,WL,GW,P,35.25146000,-108.76113000,"003",2019/06/25,590.00000000,FT,6.00000000,IN,0.00000000,,SANTA FE AREA OFFICE,JAMES JONES,"-1"
"16",NM3506429,LLANO SAN JUAN MDWCA,,L,LLANO,TAOS,GW,84.00000000,0.00000000,"06429001",C,1978.00000000,WELL #1,,WL,GW,P,36.13830300,-105.68162600,"003",2008/05/28,260.00000000,FT,6.00000000,IN,45.00000000,FT,SANTA FE AREA OFFICE,WAYNE JEFFS,"-1"
"17",NM3592219,CHALET CAMPER VILLAGE,,P,CLOUDCROFT,OTERO,GW,222.00000000,10000.00000000,"92219001",C,7199.00000000,SPRING #1,,SP,GW,P,32.97158100,-105.68747600,"003",,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,ANTONIO ROMERO,"-1"
"18",NM3510609,PINOS ALTOS MDWCA,,L,PINOS ALTOS,GRANT,GWP,320.00000000,0.00000000,"10609001",C,7277.00000000,SILVER CITY WSS,,CC,GW,P,32.85881800,-108.22312000,"003",2003/02/25,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,AARON BECKWORTH,"-1"
"19",NM3500526,RANCHITOS DE GALISTEO WUA,,L,GALISTEO,SANTA FE,GW,94.00000000,50000.00000000,"00526001",C,1799.00000000,WELL #1 (NORTH),NORTH WELL,WL,GW,P,35.38791300,-105.95967700,"003",2013/10/08,102.00000000,FT,6.00000000,IN,15.00000000,FT,SANTA FE AREA OFFICE,WAYNE JEFFS,"-1"
"20",NM3500526,RANCHITOS DE GALISTEO WUA,,L,GALISTEO,SANTA FE,GW,94.00000000,50000.00000000,"00526002",C,1800.00000000,WELL #2 (SOUTH),SOUTH WELL,WL,GW,P,35.38735000,-105.95953600,"003",2013/10/08,96.00000000,FT,6.00000000,IN,15.00000000,FT,SANTA FE AREA OFFICE,WAYNE JEFFS,"-1"
"21",NM3514127,HILLSBORO MDWCA,,L,HILLSBORO,SIERRA,GW,186.00000000,52500.00000000,"14127002",C,2504.00000000,WELL #2,,WL,GW,P,32.92021700,-107.57254400,"003",2003/08/04,250.00000000,FT,6.00000000,IN,13.00000000,FT,LAS CRUCES AREA OFFICE,AARON BECKWORTH,"-1"
"22",NM3514127,HILLSBORO MDWCA,,L,HILLSBORO,SIERRA,GW,186.00000000,52500.00000000,"14127003",C,2505.00000000,WELL #3,,WL,GW,P,32.92019600,-107.57264300,"003",2003/08/04,483.00000000,FT,8.00000000,IN,30.00000000,FT,LAS CRUCES AREA OFFICE,AARON BECKWORTH,"-1"
"24",NM3515918,AGUA NEGRA MDWCA,,L,HOLMAN,MORA,GW,242.00000000,50000.00000000,"15918001",C,2544.00000000,WELL #2,NEW WELL,WL,GW,P,36.03305500,-105.38027700,"003",2011/03/25,247.00000000,FT,10.00000000,IN,39.60000000,FT,SANTA FE AREA OFFICE,GREG QUARTIERI,"-1"
"26",NM3508317,GALLUP WATER SYSTEM,,L,GALLUP,MCKINLEY,GW,23530.00000000,22686000.00000000,"08317001",C,2022.00000000,ERWIN WELL,,WL,GW,P,35.62336000,-108.79295000,"003",2015/08/03,2004.00000000,FT,18.00000000,IN,610.00000000,FT,SANTA FE AREA OFFICE,JAMES JONES,"-1"
"27",NM3508317,GALLUP WATER SYSTEM,,L,GALLUP,MCKINLEY,GW,23530.00000000,22686000.00000000,"08317002",C,2023.00000000,JUNKER #1 WELL,,WL,GW,P,35.65384000,-108.76643000,"003",2018/10/15,2100.00000000,FT,16.00000000,IN,560.00000000,FT,SANTA FE AREA OFFICE,JAMES JONES,"-1"
"28",NM3508317,GALLUP WATER SYSTEM,,L,GALLUP,MCKINLEY,GW,23530.00000000,22686000.00000000,"08317003",C,2024.00000000,JUNKER #2 WELL,,WL,GW,P,35.63734000,-108.77611000,"003",2015/11/20,2134.00000000,FT,0.00000000,,830.00000000,FT,SANTA FE AREA OFFICE,JAMES JONES,"-1"
