OBJECTID,NUMBER0,SYSTEM_NAM,TINWSYS_LO,OWNER_TYPE,D_PRIN_CIT,D_PRIN_CNT,D_FED_PRIM,D_POPULATI,D_TTL_STOR,ST_ASGN_ID,D_PWS_FED_,TINWSF_IS_,FACILITY_N,TINWSF_LOC,FACILITY_T,WATER_TYPE,AVAILABILI,LAT,LON,HORIZ_REF_,DATA_COLLE,DEPTH_OF_W,DEPTH_OF_1,WELL_DIAME,WELL_DIA_1,STATIC_WAT,STATIC_W_1,OFFICE,OVERSIGHT,ACTIVE
"11",NM3526504,MIAMI WATER USERS ASSOCIATION,,L,MIAMI,COLFAX,SW,135.00000000,195000.00000000,"26504001",C,7016.00000000,INTAKE #1,MIAMI LAKE,IN,SW,P,36.34702700,-104.89230500,"003",2012/08/27,0.00000000,,0.00000000,,0.00000000,,SANTA FE AREA OFFICE,GREG QUARTIERI,"-1"
"136",NM3592729,SIPAPU LODGE AND CAFE,,P,VADITO,TAOS,GU,250.00000000,0.00000000,"92729001",NC,7201.00000000,SPRING #1,OLD NAME WELL #1 (SPRING #1),SP,GU,P,36.15502800,-105.55090200,"003",2006/10/26,0.00000000,,0.00000000,,0.00000000,,SANTA FE AREA OFFICE,SF FRANK BACA,"-1"
"137",NM3592729,SIPAPU LODGE AND CAFE,,P,VADITO,TAOS,GU,250.00000000,0.00000000,"92729003",NC,11399.00000000,WELL #2,SPRING #2 (OLD),WL,GW,E,36.15527800,-105.55076300,"003",2006/10/26,20.00000000,FT,0.00000000,,10.00000000,FT,SANTA FE AREA OFFICE,SF FRANK BACA,"0"
"165",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319063",C,2478.00000000,WELL # 2,,WL,GW,P,32.96797900,-105.93677800,"003",2004/09/22,990.00000000,FT,10.00000000,IN,418.00000000,FT,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"166",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319064",C,2479.00000000,WELL # 3,,WL,GW,P,32.95168000,-105.93955600,"003",2004/09/22,880.00000000,FT,13.00000000,IN,400.00000000,FT,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"167",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319065",C,2480.00000000,WELL # 4,,WL,GW,P,32.95507200,-105.93656600,"003",2004/09/22,780.00000000,FT,10.00000000,IN,382.00000000,FT,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"168",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319066",C,2481.00000000,WELL # 5,,WL,GW,P,32.97425500,-105.93967400,"003",2004/09/22,936.00000000,FT,13.00000000,IN,438.00000000,FT,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"169",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319067",C,2482.00000000,WELL # 6,,WL,GW,P,32.94693500,-105.93740200,"003",2004/09/22,844.00000000,FT,14.00000000,IN,393.00000000,FT,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"170",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319068",C,2483.00000000,WELL # 7,,WL,GW,P,32.94726200,-105.93982400,"003",2004/09/22,750.00000000,FT,14.00000000,IN,395.00000000,FT,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"171",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319077",C,12109.00000000,GOLF COURSE WELL,,WL,GW,P,32.85886100,-105.95883300,"003",2008/03/12,780.00000000,FT,12.00000000,IN,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"172",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319080",C,12160.00000000,WELL #8,,WL,GW,P,32.96243000,-105.93611700,"003",2004/09/22,995.00000000,FT,14.00000000,IN,356.00000000,FT,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"173",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319072",C,9456.00000000,PRATHER WELL #1 (NORTH),,WL,GW,P,32.79630300,-105.98143200,"003",2004/09/22,330.00000000,FT,12.00000000,IN,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"174",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319073",C,9457.00000000,PRATHER WELL #2 (SOUTH),,WL,GW,P,32.78651200,-105.98251800,"003",2004/09/22,320.00000000,FT,12.00000000,IN,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"175",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319014",C,12189.00000000,COVERED RAW WATER RESERVOIRS #1 - #3,,RS,SW,P,32.97035700,-105.93415400,"003",2004/09/22,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"176",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319004",C,12179.00000000,CABALLERO CANYON SPRINGS,,SP,SW,P,32.87612900,-105.83678900,"003",2004/09/24,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"177",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319034",C,8933.00000000,UPPER SPRINGER INFILTRATION GALLERY,,IG,SW,P,32.97361100,-105.90333300,"003",2004/09/22,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
