OBJECTID_1,OBJECTID,NUMBER0,SYSTEM_NAM,TINWSYS_LO,OWNER_TYPE,D_PRIN_CIT,D_PRIN_CNT,D_FED_PRIM,D_POPULATI,D_TTL_STOR,ST_ASGN_ID,D_PWS_FED_,TINWSF_IS_,FACILITY_N,TINWSF_LOC,FACILITY_T,WATER_TYPE,AVAILABILI,LAT,LON,HORIZ_REF_,DATA_COLLE,DEPTH_OF_W,DEPTH_OF_1,WELL_DIAME,WELL_DIA_1,STATIC_WAT,STATIC_W_1,OFFICE,OVERSIGHT,ACTIVE,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,impact,impact_dis,impact_eph,impact_e,impact_d,impact_de
"1","11",NM3526504,MIAMI WATER USERS ASSOCIATION,,L,MIAMI,COLFAX,SW,135.00000000000,195000.00000000000,"26504001",C,7016.00000000000,INTAKE #1,MIAMI LAKE,IN,SW,P,36.34702700000,-104.89230500000,"003",2012/08/27,0.00000000000,,0.00000000000,,0.00000000000,,SANTA FE AREA OFFICE,GREG QUARTIERI,"-1",0.50000000000,"0",5056.03798398000,2033845.44573000004,"1","0","1","1","0","1"
"2","136",NM3592729,SIPAPU LODGE AND CAFE,,P,VADITO,TAOS,GU,250.00000000000,0.00000000000,"92729001",NC,7201.00000000000,SPRING #1,OLD NAME WELL #1 (SPRING #1),SP,GU,P,36.15502800000,-105.55090200000,"003",2006/10/26,0.00000000000,,0.00000000000,,0.00000000000,,SANTA FE AREA OFFICE,SF FRANK BACA,"-1",0.50000000000,"1",5056.03127749000,2033845.44020999991,"1","0","1","1","0","1"
"3","137",NM3592729,SIPAPU LODGE AND CAFE,,P,VADITO,TAOS,GU,250.00000000000,0.00000000000,"92729003",NC,11399.00000000000,WELL #2,SPRING #2 (OLD),WL,GW,E,36.15527800000,-105.55076300000,"003",2006/10/26,20.00000000000,FT,0.00000000000,,10.00000000000,FT,SANTA FE AREA OFFICE,SF FRANK BACA,"0",0.50000000000,"2",5056.03131456000,2033845.46314999997,"1","0","1","1","0","1"
"4","165",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000000,25011000.00000000000,"13319063",C,2478.00000000000,WELL # 2,,WL,GW,P,32.96797900000,-105.93677800000,"003",2004/09/22,990.00000000000,FT,10.00000000000,IN,418.00000000000,FT,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1",0.50000000000,"3",5055.85251567000,2033845.46200000006,"1","0","1","1","0","1"
"5","166",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000000,25011000.00000000000,"13319064",C,2479.00000000000,WELL # 3,,WL,GW,P,32.95168000000,-105.93955600000,"003",2004/09/22,880.00000000000,FT,13.00000000000,IN,400.00000000000,FT,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1",0.50000000000,"4",5055.85146350000,2033845.46512000007,"1","0","1","1","0","1"
"6","167",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000000,25011000.00000000000,"13319065",C,2480.00000000000,WELL # 4,,WL,GW,P,32.95507200000,-105.93656600000,"003",2004/09/22,780.00000000000,FT,10.00000000000,IN,382.00000000000,FT,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1",0.50000000000,"5",5055.85162926000,2033845.42280000006,"1","0","1","1","0","1"
"7","168",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000000,25011000.00000000000,"13319066",C,2481.00000000000,WELL # 5,,WL,GW,P,32.97425500000,-105.93967400000,"003",2004/09/22,936.00000000000,FT,13.00000000000,IN,438.00000000000,FT,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1",0.50000000000,"6",5055.85291640000,2033845.45754000009,"1","0","1","1","0","1"
"8","169",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000000,25011000.00000000000,"13319067",C,2482.00000000000,WELL # 6,,WL,GW,P,32.94693500000,-105.93740200000,"003",2004/09/22,844.00000000000,FT,14.00000000000,IN,393.00000000000,FT,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1",0.50000000000,"7",5055.85113223000,2033845.44622000004,"1","0","1","1","0","1"
"9","170",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000000,25011000.00000000000,"13319068",C,2483.00000000000,WELL # 7,,WL,GW,P,32.94726200000,-105.93982400000,"003",2004/09/22,750.00000000000,FT,14.00000000000,IN,395.00000000000,FT,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1",0.50000000000,"8",5055.85114330000,2033845.43810999999,"1","0","1","1","0","1"
"10","171",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000000,25011000.00000000000,"13319077",C,12109.00000000000,GOLF COURSE WELL,,WL,GW,P,32.85886100000,-105.95883300000,"003",2008/03/12,780.00000000000,FT,12.00000000000,IN,0.00000000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1",0.50000000000,"9",5055.84543911000,2033845.44608999998,"1","0","1","1","0","1"
