OBJECTID,NUMBER0,SYSTEM_NAM,TINWSYS_LO,OWNER_TYPE,D_PRIN_CIT,D_PRIN_CNT,D_FED_PRIM,D_POPULATI,D_TTL_STOR,ST_ASGN_ID,D_PWS_FED_,TINWSF_IS_,FACILITY_N,TINWSF_LOC,FACILITY_T,WATER_TYPE,AVAILABILI,LAT,LON,HORIZ_REF_,DATA_COLLE,DEPTH_OF_W,DEPTH_OF_1,WELL_DIAME,WELL_DIA_1,STATIC_WAT,STATIC_W_1,OFFICE,OVERSIGHT,ACTIVE
"11",NM3526504,MIAMI WATER USERS ASSOCIATION,,L,MIAMI,COLFAX,SW,135.00000000,195000.00000000,"26504001",C,7016.00000000,INTAKE #1,MIAMI LAKE,IN,SW,P,36.34702700,-104.89230500,"003",2012/08/27,0.00000000,,0.00000000,,0.00000000,,SANTA FE AREA OFFICE,GREG QUARTIERI,"-1"
"136",NM3592729,SIPAPU LODGE AND CAFE,,P,VADITO,TAOS,GU,250.00000000,0.00000000,"92729001",NC,7201.00000000,SPRING #1,OLD NAME WELL #1 (SPRING #1),SP,GU,P,36.15502800,-105.55090200,"003",2006/10/26,0.00000000,,0.00000000,,0.00000000,,SANTA FE AREA OFFICE,SF FRANK BACA,"-1"
"155",NM3501725,EL CRESTON MDWCA,,L,LAS VEGAS,SAN MIGUEL,SWP,50.00000000,41600.00000000,"01725001",C,13822.00000000,CONSECUTIVE CONNECTION #1,CITY OF LAS VEGAS (180-25),CC,SW,P,35.59523300,-105.22355200,"003",2015/12/09,0.00000000,,0.00000000,,0.00000000,,SANTA FE AREA OFFICE,SF FRANK BACA,"-1"
"175",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319014",C,12189.00000000,COVERED RAW WATER RESERVOIRS #1 - #3,,RS,SW,P,32.97035700,-105.93415400,"003",2004/09/22,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"176",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319004",C,12179.00000000,CABALLERO CANYON SPRINGS,,SP,SW,P,32.87612900,-105.83678900,"003",2004/09/24,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"177",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319034",C,8933.00000000,UPPER SPRINGER INFILTRATION GALLERY,,IG,SW,P,32.97361100,-105.90333300,"003",2004/09/22,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"178",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319033",C,8932.00000000,LOWER MARUCHE INFILTRATION GALLERY,,IG,SW,P,32.99504200,-105.83862000,"003",2004/09/22,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"179",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319008",C,12183.00000000,CROCKET SPRINGS,,SP,SW,P,33.01409600,-105.84667000,"003",2004/09/23,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"180",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319009",C,12184.00000000,UPPER MARUCHE SPRINGS,,SP,SW,P,32.99504200,-105.83862000,"003",2004/09/22,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"181",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319001",C,12175.00000000,ALAMO CANYON SPRINGS,,SP,SW,P,32.85479200,-105.83845500,"003",2004/09/24,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"182",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319003",C,12178.00000000,GORDON CANYON SPRINGS,,SP,SW,P,32.83131500,-105.82325500,"003",2004/09/24,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"183",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319013",C,12188.00000000,FRESNAL CANYON SPRINGS,,SP,SW,P,32.87277700,-105.94527700,"003",2004/09/22,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"185",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319012",C,12187.00000000,LOWER SPRINGER SPRINGS,,SP,SW,P,32.98348300,-105.82316000,"003",2004/09/22,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"186",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319020",C,7003.00000000,FRESNAL CANYON DIVERSIONS & SPRINGS,,IN,SW,P,32.95825800,-105.88270200,"003",2004/09/23,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"197",NM3590024,NAVAJO LAKE STATE PARK - COTTONWOOD CAMP,,S,NAVAJO DAM,SAN JUAN,GU,200.00000000,43750.00000000,"90024001",NC,8941.00000000,INFILTRATION GALLERY # 1,,IG,GU,P,36.80800000,-107.67799000,"003",2020/01/15,0.00000000,,0.00000000,,0.00000000,,SANTA FE AREA OFFICE,JAMES JONES,"-1"
"219",NM3531524,BLANCO MDWCA,,L,BLANCO,SAN JUAN,SWP,1140.00000000,380000.00000000,"31524011",C,12613.00000000,BLOOMFIELD CONSECUTIVE CONNECTION,,CC,SW,P,36.70024700,-107.91676800,"003",2008/04/08,0.00000000,,0.00000000,,0.00000000,,SANTA FE AREA OFFICE,JAMES JONES,"-1"
