number0,system_nam,owner_type,d_prin_cit,d_prin_cnt,d_fed_prim,d_populati,d_ttl_stor,d_pws_fed_,has_nmdwb_data,num_gw_facilities,has_gw_facilities_ind,num_sw_gu_facilities,num_sw_facilities,num_gu_facilities,has_sw_facilities_ind,has_gu_facilities_ind,surface_ground_facility_type,surf_wtr_ratio_if_spws,surf_wtr_pur_ratio_if_spws,grnd_wtr_udi_ratio_if_spws,grnd_wtr_udi_purch_if_spws,surface_pws,surface_ratio_if_spws,has_source_ratio_surface_pws,mhi_2010,has_mhi_data,has_drinking_water_data,ratio_pws_mhi_over_state_mhi,disadvantage_status_type,total_intakes,sw_intakes,gw_intakes,gu_intakes,total_gu_sw_intakes,alternative_intakes,impacted_sw_intakes,impacted_gu_intakes,impacted_gu_sw_water_intakes,ratio_impacted_gu_sw_over_all,ratio_gu_sw_impacted_over_gu_sw,has_surface_intake_geo_info,seller_number0_1,seller_system_name_1,seller_pop_1,seller_number0_2,seller_system_name_2,seller_pop_2,surfacepurchaser_status,has_surfacepurchase_data,wotus2020_dwv_index,seller_wotus2020_dwv_index_1,seller_wotus2020_dwv_index_2,index_summary
NM3507029,RANCHOS DE TAOS MDWCA,L,RANCHOS DE TAOS,TAOS,GW,750,100000,C,Yes,3,1,0,0,0,0,0,Ground,,,,,0,,1,39005.2,Yes,Yes,.8116107,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3553401,CORONADO VILLAGE COUNTRY CLUB,P,ALBUQUERQUE,BERNALILLO,GW,842,104500,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,45599,Yes,Yes,.9488129,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3580121,RIO ARRIBA COUNTY DETENTION CENTER,L,TIERRA AMARILLA,RIO ARRIBA,GW,128,20000,NTNC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3513607,LOWER RIO GRANDE PWWA VALLE DEL RIO,P,LA MESA,DONA ANA,GW,243,52000,C,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3549408,CARLSBAD CAVERNS NATIONAL PARK,F,CARLSBAD,EDDY,GW,2500,550000,NTNC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3549801,"LA MESA VILLA MOBILE HOME PARK, LLC",P,ALBUQUERQUE,BERNALILLO,GW,90,0,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,47895,Yes,Yes,.99658751,Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3504926,RIO CHIQUITO MDWCA,L,CHIMAYO,SANTA FE,GW,122,15000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,36048.6,Yes,Yes,.75009054,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3510624,UPPER LA PLATA WATER USERS ASSOCIATION,L,LA PLATA,SAN JUAN,SWP,2265,890000,C,Yes,0,0,1,1,0,1,0,Surface,,,,,0,,1,54375,Yes,Yes,1.1314218,Non-Disadvantaged,,,,,,,,,,,,0,NM3510324,LOWER VALLEY WATER USERS ASSOCIATION,8647,,,,A,Yes,8,8,,Direct Impact with No Alternative Sources of Water
NM3591621,ECHO AMPHITHEATER USFS CARSON,F,,RIO ARRIBA,GW,205,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3596514,ALLSUPS 130,P,HONDO,LINCOLN,GW,350,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3531524,BLANCO MDWCA,L,BLANCO,SAN JUAN,SWP,1140,380000,C,Yes,0,0,1,1,0,1,0,Surface,,,,,0,,1,52989.7,Yes,Yes,1.1025968,Non-Disadvantaged,,,,,,,,,,,,0,NM3510124,BLOOMFIELD WATER SUPPLY SYSTEM,7090,,,,A,Yes,8,8,,Direct Impact with No Alternative Sources of Water
NM3522329,EL SALTO MDWCA AND SA,L,ARROYO SECO,TAOS,GW,232,40000,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,37994.5,Yes,Yes,.79058033,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3591821,ABIQUIU INN,P,ABIQUIU,RIO ARRIBA,GW,191,0,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3502007,VISTA DEL REY ESTATES MDWCA,L,VADO,DONA ANA,GW,42,0,C,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,28711.1,Yes,Yes,.5974136,Severely Disadvantaged,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3510124,BLOOMFIELD WATER SUPPLY SYSTEM,L,BLOOMFIELD,SAN JUAN,SW,7090,3100000,C,Yes,0,0,2,2,0,1,0,Surface,100,0,0,0,1,100,1,55805.3,Yes,Yes,1.1611831,Non-Disadvantaged,2,2,0,0,2,0,2,0,2,1,1,1,,,,,,,,No,8,,,Direct Impact with No Alternative Sources of Water
NM3526704,CITY OF RATON/RATON WATER WORKS,L,RATON,COLFAX,SW,9733,7410000,C,Yes,0,0,3,3,0,1,0,Surface,100,0,0,0,1,100,1,31784.5,Yes,Yes,.66136414,Severely Disadvantaged,5,5,0,0,5,0,5,0,5,1,1,1,,,,,,,,No,10,,,Direct Impact with No Alternative Sources of Water
NM3500502,QUEMADO LAKE RECREATION AREA - USFS,F,QUEMADO,CATRON,GW,25,1800,NC,Yes,1,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
NM3591419,PINE SPRINGS SUMMER CAMP,P,SACRAMENTO,OTERO,GW,250,20000,NC,Yes,2,1,0,0,0,0,0,Ground,,,,,0,,1,,No,Yes,,,,,,,,,,,,,,0,,,,,,,,No,1,,,No Direct Impact
