county_nm,"Total Population total population of area, in thousands","Public Supply population served by groundwater, in thousands","Public Supply population served by surface water, in thousands","Public Supply total population served, in thousands","Public Supply self-supplied groundwater withdrawals, fresh, in Mgal/d","Public Supply self-supplied surface-water withdrawals, fresh, in Mgal/d","Public Supply total self-supplied withdrawals, fresh, in Mgal/d","Public Supply per capita use, in gallons/person/day","Domestic self-supplied groundwater withdrawals, fresh, in Mgal/d","Domestic self-supplied surface-water withdrawals, fresh, in Mgal/d","Domestic total self-supplied withdrawals, fresh, in Mgal/d","Domestic self-supplied population, in thousands",Domestic Self Supplied Pct,"Domestic deliveries from public supply, in Mgal/d","Domestic per capita use, public-supplied, in gallons/person/day","Domestic per capita use, self-supplied, in gallons/person/day"
Bernalillo County,676.685,306.929,358.093,665.022,40.57,47.05,87.62,132,1.17,0,1.17,11.663,1.72,45.03,68,100
Catron County,3.456,1.224,0,1.224,0.15,0,0.15,123,0.16,0,0.16,2.232,64.58,0.13,106,72
Chaves County,65.764,56.772,0,56.772,11.57,0,11.57,204,0.9,0,0.9,8.992,13.67,5.92,104,100
Cibola County,27.329,12.774,0,12.774,2.38,0,2.38,186,1.02,0,1.02,14.555,53.26,1.69,132,70
Colfax County,12.414,1.809,10.451,12.26,0.57,1.23,1.8,147,0.01,0,0.01,0.154,1.24,1.28,104,65
Curry County,50.398,45.483,0,45.483,5.2,0,5.2,114,0.49,0,0.49,4.915,9.75,2.77,61,100
De Baca County,1.828,1.603,0,1.603,0.24,0,0.24,150,0.02,0,0.02,0.225,12.31,0.18,112,89
Doña Ana County,214.295,209.295,0,209.295,33.99,0,33.99,162,0.5,0,0.5,5,2.33,20.22,97,100
Eddy County,57.578,55.27,0,55.27,13.45,0,13.45,243,0.23,0,0.23,2.308,4.01,7.67,139,100
Grant County,28.609,26.163,0,26.163,2.49,0,2.49,95,0.2,0,0.2,2.446,8.55,1.64,63,82
Guadalupe County,4.371,3.861,0,3.861,0.58,0,0.58,150,0.04,0,0.04,0.51,11.67,0.27,70,78
Harding County,0.698,0.463,0,0.463,0.08,0,0.08,173,0.02,0,0.02,0.235,33.67,0.07,151,85
Hidalgo County,4.423,2.756,0,2.756,1.73,0,1.73,628,0.13,0,0.13,1.667,37.69,1.57,570,78
Lea County,71.18,57.698,0,57.698,10.19,0,10.19,177,1.35,0,1.35,13.482,18.94,5.49,95,100
Lincoln County,19.42,15.508,2.897,18.405,3.48,0.91,4.39,239,0.08,0,0.08,1.015,5.23,3.16,172,79
Los Alamos County,17.785,17.606,0.179,17.785,3.03,0.03,3.06,172,0,0,0,0,0,1.84,103,0
Luna County,24.518,16.502,0,16.502,2.99,0,2.99,181,0.8,0,0.8,8.016,32.69,1.84,112,100
McKinley County,76.708,35.939,0,35.939,3.4,0,3.4,95,2.85,0,2.85,40.769,53.15,2.19,61,70
Mora County,4.596,3.888,0,3.888,0.33,0,0.33,85,0.06,0,0.06,0.708,15.4,0.29,75,85
Otero County,64.362,24.393,25.789,50.182,2.96,3.73,6.69,133,1.42,0,1.42,14.18,22.03,3.71,74,100
Quay County,8.455,7.752,0,7.752,1.26,0,1.26,163,0.06,0,0.06,0.703,8.31,0.9,116,85
Rio Arriba County,39.465,19.843,4.62,24.463,1.49,0.34,1.83,75,1.2,0,1.2,15.002,38.01,1.45,59,80
Roosevelt County,19.12,17.816,0,17.816,2.72,0,2.72,153,0.13,0,0.13,1.304,6.82,1.71,96,100
Sandoval County,139.394,102.921,1.518,104.439,11.12,0.12,11.24,108,2.79,0,2.79,34.955,25.08,6.1,58,80
San Juan County,118.737,0.216,101.752,101.968,0.01,18.82,18.83,185,1.17,0,1.17,16.769,14.12,11.28,111,70
San Miguel County,27.967,6.521,14.26,20.781,0.43,1.76,2.19,105,0.57,0,0.57,7.186,25.69,1.44,69,79
Santa Fe County,148.686,77.158,43.33,120.488,6.41,4.16,10.57,88,2.25,0,2.25,28.198,18.96,6.1,51,80
Sierra County,11.282,9.24,0,9.24,1.53,0,1.53,166,0.16,0,0.16,2.042,18.1,1.16,126,78
Socorro County,17.256,11.594,0.239,11.833,1.94,0.05,1.99,168,0.43,0,0.43,5.423,31.43,1.42,120,79
Taos County,32.907,23.542,0.229,23.771,2.33,0.08,2.41,101,0.73,0,0.73,9.136,27.76,1.62,68,80
Torrance County,15.485,10.559,0,10.559,1.76,0,1.76,167,0.39,0,0.39,4.926,31.81,1.28,121,79
Union County,4.201,2.5,0,2.5,0.52,0,0.52,208,0.14,0,0.14,1.701,40.49,0.37,148,82
Valencia County,75.737,43.989,0,43.989,4.94,0,4.94,112,3.17,0,3.17,31.748,41.92,3.33,76,100
